iter	Passed	Remaining
0	0	95
1	1	85
2	2	80
3	3	77
4	4	76
5	4	74
6	5	72
7	6	71
8	7	71
9	7	70
10	8	68
11	9	67
12	9	65
13	10	64
14	11	62
15	11	61
16	12	60
17	13	59
18	13	58
19	14	57
20	15	56
21	15	55
22	16	54
23	16	53
24	17	52
25	18	51
26	18	50
27	19	49
28	19	48
29	20	47
30	21	46
31	21	46
32	22	45
33	22	44
34	23	43
35	24	42
36	24	42
37	25	41
38	25	40
39	26	39
40	27	39
41	28	39
42	29	38
43	29	38
44	30	37
45	31	36
46	31	35
47	32	35
48	33	34
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	30
55	37	29
56	37	28
57	38	27
58	39	27
59	39	26
60	40	25
61	40	25
62	41	24
63	42	23
64	42	23
65	43	22
66	43	21
67	44	20
68	45	20
69	45	19
70	46	18
71	46	18
72	47	17
73	48	16
74	48	16
75	49	15
76	49	14
77	50	14
78	51	13
79	51	12
80	52	12
81	52	11
82	53	10
83	54	10
84	54	9
85	55	9
86	55	8
87	56	7
88	57	7
89	57	6
90	58	5
91	59	5
92	59	4
93	60	3
94	60	3
95	61	2
96	62	1
97	62	1
98	63	0
99	64	0
